molecule_chembl_id,canonical_smiles,pIC50
CHEMBL1554784,O=C(NCc1cccc(C(F)(F)F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.5347659050119855
CHEMBL1316002,Cn1c2ccccc2c(=O)c2ccc(C#Cc3ccc(N)cc3)cc21,5.278601624478495
CHEMBL1523192,COc1ccc(OC)c(/C=C/c2nc3ccccc3nc2O)c1,5.070734381746934
CHEMBL1407961,CCC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,4.956127087608575
CHEMBL1999014,O=[N+]([O-])c1ccc(-c2ccc(/C=N/Nc3nc(NCc4ccccc4)nc(N4CCOCC4)n3)o2)cc1,5.32836440339787
CHEMBL1428095,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,5.1185582780586065
CHEMBL1338304,CCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)n1,5.064845552783831
CHEMBL1460491,N#Cc1sc2nc(-c3ccccc3)cc(-c3ccco3)c2c1N,5.136796140971371
CHEMBL1342053,CCn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,4.54323933305743
CHEMBL1499951,Cn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,4.749531203299514
CHEMBL1535546,CN1/C(=C/C(=O)c2nc(S(C)(=O)=O)ncc2Cl)C(C)(C)c2ccccc21,5.209714835966758
CHEMBL1479144,N#Cc1sc2nc(-c3cccs3)cc(-c3ccc(Cl)cc3)c2c1N,5.324588306285136
CHEMBL1417970,CCOC(=O)CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,4.840944396486512
CHEMBL1725771,CC(C)CCN1C(=O)c2cccc3c(N)ccc(c23)C1=O,5.321390583441074
CHEMBL1706548,CC(=O)Nc1ccc2c(=O)n(-c3ccccc3)sc2c1,4.841727995347916
CHEMBL1726287,O=C(NCc1ccco1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.356547323513812
CHEMBL2005437,Cc1cccc(C)c1-n1c(C)cc(/C=N\Nc2ccc([N+](=O)[O-])cn2)c1C,5.393188853081036
CHEMBL601543,CCN1/C(=C/C=C/c2oc3ccc(-c4ccccc4)cc3[n+]2CC)Oc2ccc(-c3ccccc3)cc21.CCOS(=O)(=O)[O-],4.970372760952587
CHEMBL1428415,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,5.099141495298008
CHEMBL1707429,Cc1ccc(S(=O)(=O)C=CS(=O)(=O)c2ccc(C)cc2)cc1,4.865950457259487
CHEMBL1484327,COc1ccc(-c2cc3ccc(O)cc3oc2=O)cc1OC,5.281581358170344
CHEMBL1520346,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,5.59176003468815
CHEMBL1535665,CCOC(=O)C1CCN(S(=O)(=O)c2c(Cl)ccc3nonc23)CC1,4.6733979080363515
CHEMBL1418162,CC(=O)Oc1cccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)c1,5.347077112432058
CHEMBL1539522,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3C)ncc2Cl)cc1C,4.939339926025985
CHEMBL1418079,OCCNc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12,5.6439741428068775
CHEMBL1513846,COC(=O)c1c(-c2ccc(N(C)C)cc2)sc2ccc(OC)cc12,5.436400271118469
CHEMBL1405830,Nc1c(C(=O)N2CCCC2)sc2nc(-c3ccccc3)ccc12,4.9051447099163195
CHEMBL1727091,C=C1C(=O)C23C(O)C1CCC2C12CCCC(C)(COC(C)=O)C1C(O)C3(O)OC2,4.488517711373999
CHEMBL1578341,CCOC(=O)COc1ccc2ccccc2c1/C=C/[N+](=O)[O-],4.516170307431059
CHEMBL1500409,Cn1c(-c2c(N)n(-c3ccccc3)c3nc4ccccc4nc23)nc2ccccc21,5.414539270491499
CHEMBL1440300,O=C(Nc1ccccc1Cl)/C(Cl)=C(\Cl)[S+]([O-])c1ccccc1,5.2575891194195075
CHEMBL1610025,CCC(=O)OCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],4.979970366457301
CHEMBL1406130,O=c1c2cc(F)ccc2sn1-c1ccccc1,4.637385598180598
CHEMBL1574879,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccccc2)cn1,4.795880017344075
CHEMBL1440303,CNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,4.707655306159408
CHEMBL1418428,Cc1cccc(N2C(=O)/C(=C\c3ccc(OC(F)F)cc3)c3ccccc3C2=O)c1,5.408824049688208
CHEMBL1727997,CS(=O)(=O)c1ccc(C(=O)OCC(=O)NCc2cccs2)cc1[N+](=O)[O-],8.092724598073152
CHEMBL1608420,COc1ccccc1N1C(=O)C2C(C(=O)c3ccccc3)=NN(c3ccccc3)C2C1=O,5.0282140621208855
CHEMBL1728153,O=C1C=CC(=O)N1CCCCCCCCCCN1C(=O)C=CC1=O,4.787839040246617
CHEMBL1608392,CN(c1ccccc1)c1ccc(/C=C/[N+](=O)[O-])cc1,4.729670602910142
CHEMBL1585390,CNc1cc(Cl)c2nonc2c1[N+](=O)[O-],5.325138859262188
CHEMBL1790039,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O,5.323123568026863
CHEMBL1480031,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc3ccccc3c2)n1,5.147032308971181
CHEMBL1491686,CCCCNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,5.478861916295964
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.110642263111068
CHEMBL1418643,COc1cccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)c1,5.0508052257620175
CHEMBL1300370,O=C1Nc2ccc(Br)cc2C12NNc1ccccc1O2,4.9281916081668715
CHEMBL429095,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,4.915459467938516
CHEMBL179512,COc1cc(/C=C/C(O)=C/C(=O)/C=C/c2ccc(O)cc2)ccc1O,5.091783146910608
CHEMBL518575,Cn1cccc1/C=C1\CCC/C(=C\c2cccn2C)C1=O,4.964050220463326
CHEMBL1361740,CCn1nc(C)cc1-c1nnc(Sc2ncc([N+](=O)[O-])s2)n1C,4.336779796502907
CHEMBL1578982,Cc1ccc(S(=O)(=O)N[C@H](C(=O)Oc2ccc3c(C(F)(F)F)cc(=O)oc3c2)c2ccccc2)cc1,5.428058364925538
CHEMBL1361913,O=C(c1ccccc1)c1ccccc1N1C(=O)C=CC1=O,4.814089714959286
CHEMBL1361821,CCOC(=O)COc1ccccc1/C=C\[N+](=O)[O-],8.077471445591199
CHEMBL1558462,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(OC(F)F)cc2)n1,5.177505014721249
CHEMBL1343392,Cc1ccc(C(=O)OCn2ncc(Cl)c(Cl)c2=O)cc1,8.365301640910578
CHEMBL1566610,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@@]34C)[C@H]12,4.7482401454711995
CHEMBL1303426,Cc1c(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C,5.221704008911166
CHEMBL1508208,CS(=O)(=O)c1sc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1N,4.790484985457369
CHEMBL1586067,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1cccc(O)c1,5.280751601552054
CHEMBL1579061,CN(C)C=O.CN(C)c1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc(C(=O)O)cc2)cc1,5.04566099139754
CHEMBL1350432,S=c1sc2c(Cl)ncnc2n1-c1ccccc1,4.303538764089101
CHEMBL1531308,O=C(C#Cc1ccccc1)c1ccco1,4.3031021731020305
CHEMBL1343705,O=S(=O)(Nc1cccc2ncccc12)c1cccs1,8.091905240857747
CHEMBL1570323,CC[C@H](C)/C=C(C)/C=C/C1=CC2=CC(=O)[C@]3(C)OC(=O)[C@@H](C(C)=O)[C@@H]3C2=CO1,5.05266432405126
CHEMBL1429929,CCOC(=O)CCS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,4.549396824238743
CHEMBL1469035,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])s1,4.863342838126121
CHEMBL1372650,N#Cc1ccc(-c2ccco2)nc1SCC(=O)c1ccc(Cl)cc1,4.994176246970972
CHEMBL1540557,CCC1(C)OC(c2ccccc2)=C/C(=C/C=C2C(=O)NC(=O)NC2=O)O1,5.0378201470912325
CHEMBL1710816,COc1cc(N2C(=O)C=CC2=O)ccc1N1C(=O)C=CC1=O,4.9594372149186885
CHEMBL1303810,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccccc1Cl,8.091946978359333
CHEMBL1390797,COc1ccc(C(=O)c2sc3nc(C)cc(-c4cccs4)c3c2N)cc1,5.4139756176130245
CHEMBL1406758,N#C/C(=C/c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1)c1nc2ccccc2s1,5.29362364416031
CHEMBL1980369,COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1-c1cccc(Cl)c1.O=C(O)C(F)(F)F,5.168770306132936
CHEMBL1508593,COc1ccc(-c2c(Sc3cccc(C(F)(F)F)c3)c3ccc(OC)cc3[s+]2[O-])cc1,5.435689090039397
CHEMBL1462078,Nc1c(C(=O)c2cccs2)sc2nsc(SCCN3CCCCC3)c12,5.004628093971838
CHEMBL3189224,CCCCCCSc1cc(-c2nc3cnccn3c2NCCCC)ccc1OC.O=C(O)C(F)(F)F,5.12930354201075
CHEMBL1351081,Cc1ccc(NC(=O)c2cc(N3C(=O)C=CC3=O)ccc2N2CCOCC2)cc1Cl,8.29902817157103
CHEMBL1711797,C=C1C(=O)c2sccc2C(c2ccc(OC)c(OC)c2)C1COC(C)=O,4.669809519525435
CHEMBL1711514,O=[N+]([O-])c1ccc([S+]([O-])Cc2ccccc2)c([N+](=O)[O-])c1,4.635280197270082
CHEMBL1609419,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],4.998872299722965
CHEMBL1508875,Nc1c(C(=O)Nc2ccccc2F)sc2nc(-c3cccnc3)ccc12,4.852973284777769
CHEMBL1731330,CC(O)CN(CC(C)O)c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,5.293196902962662
CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,4.668917036038971
CHEMBL1423626,C=CCn1c(O)nnc1Sc1ncc([N+](=O)[O-])s1,4.302840429026424
CHEMBL1899958,COc1ccccc1NS(=O)(=O)c1cc([N+](=O)[O-])ccc1N/N=C/c1c[nH]c2ccccc12,5.5616158929652855
CHEMBL1462613,COc1ccc(C(=O)c2sc3nc(-c4ccc(OC)cc4)ccc3c2N)cc1,8.271433828493532
CHEMBL1984244,CCCCNc1c(-c2ccc(SC3CCCCC3)cc2)nc2cnccn12.O=C(O)C(F)(F)F,5.43074316667139
CHEMBL1446199,CC(C)CNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,5.453704164878557
CHEMBL1524932,COCCCn1c(N)c(-c2nc3ccccc3n2C)c2nc3ccccc3nc21,5.132591443477208
CHEMBL1570958,CCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],5.080660363212587
CHEMBL1492819,CCn1nc(-c2ccccc2)c2nc3ccccc3nc21,5.27107835362714
CHEMBL3199893,CNC(=S)N/N=C/c1ccc(OCc2ccccc2)c(Br)c1,5.1083510561294405
CHEMBL137913,CN(C)c1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,5.321481620959886
CHEMBL1712229,Nc1ccc2nc(-c3ccccc3)cnc2c1,5.140981856111106
CHEMBL1453652,O=C(O)c1ccccc1-c1ccc(/C=C/c2cc(C(F)(F)F)nc(O)n2)o1,5.154591860378207
CHEMBL1732235,O=c1c(Br)ccc(Br)cc1Br,5.212043876716068
CHEMBL1502104,C=CCN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,4.303128356187934
CHEMBL1452132,CN(C)c1ccc(/C=C/C(=O)c2cccc(Br)c2)cc1,5.25212229418021
CHEMBL1571123,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,5.080869586139386
CHEMBL1362660,COc1cc(OC)nc(-n2ncc(Br)c(Br)c2=O)n1,8.091946978359028
CHEMBL1430995,Cc1ccc(N2C(=O)Cc3ccccc3C2=O)cc1,5.337998120610083
CHEMBL1370844,O=[N+]([O-])c1ccc(N(c2ccccc2)c2ccccc2)cc1,5.15857795559764
CHEMBL1327783,O=C(c1nnsc1[S+]([O-])c1ccc(Cl)cc1)N1CCOCC1,4.510885630621081
CHEMBL1564153,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1ccccc1O,5.117418546445549
CHEMBL1990694,CCCC/N=C1\C(=O)N(C)c2cccc3c(O)c4ccccc4c1c23,5.043063586155804
CHEMBL1375338,CS(=O)(=O)c1nc(-c2ccc(F)cc2)cc(C(F)(F)F)n1,4.563026790480732
CHEMBL1532571,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(Br)ccc(c23)C1=O,5.242907779881067
CHEMBL1713905,CN1C(=O)/C(=N\CCc2ccccc2)c2c3ccccc3c(O)c3cccc1c23,5.2236620903798245
CHEMBL1413680,O=[N+]([O-])c1cnc(Sc2ccncn2)s1,4.30372226326429
CHEMBL1470904,CC(C)OC(=O)c1sc2nc(-c3ccccc3)ccc2c1N,5.4320330931768455
CHEMBL1541918,CC(=O)c1sc2nc(-c3ccc(C)cc3)c3c(c2c1N)CCCC3,5.428291168191312
