,molecule_chembl_id,canonical_smiles,standard_value
58,CHEMBL1340895,COc1cc2c3nnc(-c4ccc(F)cc4)c-3cn(Cc3cccc(C)c3)c2cc1OC,3924.0
59,CHEMBL1517505,Nc1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,6096.0
60,CHEMBL1459316,CC1C/C(=C/c2cccn2C)C(=O)/C(=C/c2cccn2C)C1,4385.0
61,CHEMBL1703189,O=c1c2cc([N+](=O)[O-])ccc2sn1-c1ccccc1,49700.0
62,CHEMBL1399957,CCC(C)Sc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1.O=C(O)C(F)(F)F,3685.0
63,CHEMBL1473205,CC1=NCCc2c1[nH]c1cc(O)ccc21.Cl.O,7958.0
64,CHEMBL1360031,Brc1cc(Br)c2nc(-c3ccc(N4CCOCC4)cc3)ccc2c1,2366.0
65,CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,10769.0
66,CHEMBL1427185,O=C1C=CC(=O)N1CCNc1ncc(C(F)(F)F)cc1Cl,7938.0
67,CHEMBL1573592,CC(=O)Oc1ccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)cc1,4057.0
68,CHEMBL1332454,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,5743.0
69,CHEMBL1988416,O=Cc1s/c(=N\S(=O)(=O)c2ccccc2)n(CCCCl)c1Cl,19538.0
70,CHEMBL1417212,COc1ccccc1N1N=C(c2cccs2)CC1c1ccccc1,3616.0
71,CHEMBL1991303,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cc2ccccc2o1,2995.0
72,CHEMBL1301371,Cc1cccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,5510.0
73,CHEMBL1704261,CCCC(=O)NC1=C(Cl)C(=O)c2ccccc2C1=O,6778.0
74,CHEMBL1993431,COc1cc(/C=C/c2ccc3c(Br)cc(Br)c(O)c3n2)ccc1O,7680.0
75,CHEMBL1308255,O=C(/C=C/c1cn(CC(O)CN2CCCCCC2)c2ccccc12)c1cccs1,8346.0
76,CHEMBL1476225,Fc1ccc(-[n+]2nc(Nc3ccccc3)sc2-c2c3ccccc3cc3ccccc23)cc1.[Cl-],5696.0
77,CHEMBL1723955,O=C1C(Cl)=C(NCCc2ccccc2)C(=O)c2ccccc21,17734.0
78,CHEMBL1704703,O=C1C=CC2(C=C1)O[C@H](Cc1ccccc1)[C@@H](Cc1ccccc1)O2,21753.0
79,CHEMBL3195010,COc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2)cc1O,10743.0
80,CHEMBL1583998,O=C1N=C(NS(=O)(=O)Cc2ccccc2)S/C1=C/c1cc([N+](=O)[O-])ccc1O,4369.0
81,CHEMBL1534986,Cc1ccc(C(=O)O)cc1N1C(=O)c2cccc3c([N+](=O)[O-])ccc(c23)C1=O,7410.0
82,CHEMBL432044,O=C1Cc2ccccc2C(=O)N1c1ccccc1,3968.0
83,CHEMBL1538643,CCCCN(C)CC(O)Cn1cc(/C=C/C(=O)c2cccs2)c2ccccc21,7668.0
84,CHEMBL1460029,O=c1oc2ccccc2c(Cl)c1CN1CCCCC1,6024.0
85,CHEMBL1308404,O=[N+]([O-])c1c(Nc2ccc(O)cc2)cc(Cl)c2nonc12,6375.0
86,CHEMBL1518077,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,9426.0
87,CHEMBL1526855,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1,5301.0
88,CHEMBL1301731,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,4768.0
89,CHEMBL1301723,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,15868.0
90,CHEMBL1557820,Clc1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1,49740.0
91,CHEMBL1607132,CCC(=O)c1ccc(/C=C/c2nc3ccccc3n2C)o1,5112.0
92,CHEMBL1705527,COc1cc2oc3cc(C#Cc4ccc(N)cc4)ccc3c(=O)c2cc1OC,3598.0
93,CHEMBL1554784,O=C(NCc1cccc(C(F)(F)F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,2919.0
94,CHEMBL1316002,Cn1c2ccccc2c(=O)c2ccc(C#Cc3ccc(N)cc3)cc21,5265.0
95,CHEMBL1523192,COc1ccc(OC)c(/C=C/c2nc3ccccc3nc2O)c1,8497.0
96,CHEMBL1407961,CCC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,11063.0
97,CHEMBL1999014,O=[N+]([O-])c1ccc(-c2ccc(/C=N/Nc3nc(NCc4ccccc4)nc(N4CCOCC4)n3)o2)cc1,4695.0
98,CHEMBL1428095,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,7611.0
99,CHEMBL1338304,CCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)n1,8613.0
